vowel,consonant_raw,consonant,count
A,ba,b,468
A,ca,c,599
A,da,d,603
A,dha,dh,606
A,ga,g,487
A,ha,h,426
A,ja,j,611
A,ka,k,436
A,la,l,437
A,ma,m,608
A,na,n,602
A,nga,ng,103
A,nya,ny,455
A,pa,p,623
A,ra,r,472
A,sa,s,619
A,ta,t,444
A,tha,th,103
A,wa,w,598
A,ya,y,695
E,be,b,21
E,ce,c,21
E,de,d,22
E,dhe,dh,21
E,ge,g,21
E,he,h,26
E,je,j,22
E,ke,k,22
E,le,l,22
E,me,m,22
E,ne,n,22
E,nge,ng,22
E,nye,ny,22
E,pe,p,22
E,re,r,22
E,se,s,22
E,te,t,22
E,the,th,22
E,we,w,22
E,ye,y,22
I,bi,b,22
I,ci,c,22
I,dhi,dh,22
I,di,d,22
I,gi,g,22
I,hi,h,22
I,ji,j,22
I,ki,k,22
I,li,l,22
I,mi,m,22
I,ngi,ng,22
I,ni,n,22
I,nyi,ny,22
I,pi,p,22
I,ri,r,22
I,si,s,22
I,thi,th,22
I,ti,t,22
I,wi,w,22
I,yi,y,22
O,bo,b,22
O,co,c,22
O,dho,dh,22
O,do,d,22
O,go,g,22
O,ho,h,22
O,jo,j,22
O,ko,k,22
O,lo,l,22
O,mo,m,22
O,ngo,ng,22
O,no,n,22
O,nyo,ny,22
O,po,p,22
O,ro,r,22
O,so,s,22
O,tho,th,22
O,to,t,22
O,wo,w,22
O,yo,y,22
U,bu,b,22
U,cu,c,22
U,dhu,dh,22
U,du,d,22
U,gu,g,22
U,hu,h,22
U,ju,j,22
U,ku,k,22
U,lu,l,22
U,mu,m,22
U,ngu,ng,22
U,nu,n,22
U,nyu,ny,22
U,pu,p,22
U,ru,r,22
U,su,s,22
U,thu,th,22
U,tu,t,22
U,wu,w,22
U,yu,y,22
È,bè,b,21
È,cè,c,21
È,dhè,dh,21
È,dè,d,22
È,gè,g,21
È,hè,h,22
È,jè,j,22
È,kè,k,22
È,lè,l,22
È,mè,m,22
È,ngè,ng,22
È,nyè,ny,22
È,nè,n,22
È,pè,p,22
È,rè,r,22
È,sè,s,22
È,thè,th,22
È,tè,t,22
È,wè,w,22
È,yè,y,22
